Date,Close,High,Low,Open,Volume
14-11-2022,146.5757599,148.5527731,145.7355232,147.2578319,73374100
15-11-2022,148.3155365,151.8247383,146.8525508,150.4704889,89868300
16-11-2022,147.0798798,148.1474686,145.59712,147.4159834,64218300
17-11-2022,148.9877167,149.7389763,144.4702343,144.7470149,80389400
18-11-2022,149.5511627,150.9449607,148.2463418,150.5594437,74829600
21-11-2022,146.3088684,148.6417448,146.0222081,148.4341668,58724100
22-11-2022,148.4539032,148.6911502,145.241257,146.4274769,51804100
23-11-2022,149.333725,150.0849847,147.6235974,147.7323338,58301400
25-11-2022,146.4077148,147.1688692,145.4290879,146.6054131,35195900
28-11-2022,142.5624237,144.9546079,141.7320818,143.471848,69246000
29-11-2022,139.5475006,143.1456647,138.7369329,142.6316369,83763800
30-11-2022,146.3286285,147.0107005,138.9346035,139.7748251,111380900
01-12-2022,146.605423,147.4160057,144.9249646,146.5065814,71250400
02-12-2022,146.1111755,146.2989942,143.9759974,144.2824472,65447400
05-12-2022,144.9447479,149.1854352,144.0946315,146.071645,68826400
06-12-2022,141.2675018,145.6070458,140.2888747,145.3796935,64727200
07-12-2022,139.3201599,141.7222244,138.390961,140.5557935,69721100
08-12-2022,141.0104675,141.8704786,139.4782943,140.7238072,62128300
09-12-2022,140.5261078,143.8969191,139.2805798,140.7040317,76097000
12-12-2022,142.8293304,142.8392101,139.4387448,141.0598951,70462700
13-12-2022,143.7980957,148.2463766,142.5822365,147.7817772,93886200
14-12-2022,141.5640411,144.974386,139.5375995,143.6794447,82291200
15-12-2022,134.9311523,140.1702404,134.466553,139.4881684,98931900
16-12-2022,132.9640198,136.06793,132.1929858,135.118972,160156900
19-12-2022,130.8486023,133.6460775,129.8106825,133.5571156,79592600
20-12-2022,130.7794037,131.7184818,128.3970996,129.8798592,77432800
21-12-2022,133.893219,135.2375886,131.2242541,131.4516064,85928000
22-12-2022,130.7102356,133.013458,128.8024249,132.80588,77852100
23-12-2022,130.3444824,130.8980437,128.1499965,129.4152838,63814900
27-12-2022,128.5355072,129.8996511,127.240566,129.8699971,69007800
28-12-2022,124.5913696,129.5240153,124.4233253,128.1796458,85438400
29-12-2022,128.1203308,128.9803267,126.2619413,126.5189475,75703700
30-12-2022,128.4366608,128.4564351,125.9654017,126.9341415,77034200
03-01-2023,123.6325302,129.3955184,122.7428727,128.7826491,112117500
04-01-2023,124.9077148,127.1812834,123.6424274,125.4316222,89113600
05-01-2023,123.583107,126.3015005,123.3261007,125.6688568,80962700
06-01-2023,128.1302032,128.7925008,123.4545719,124.5617018,87754700
09-01-2023,128.6541443,131.8766859,128.397138,128.9704737,70790800
10-01-2023,129.227478,129.7513854,126.6474749,128.7628787,63896200
11-01-2023,131.9557648,131.975524,128.9605907,129.7415043,69458900
12-01-2023,131.8766632,132.7168847,129.9293041,132.3412625,71379600
13-01-2023,133.2111664,133.3693311,130.1468045,130.5125471,57809700
17-01-2023,134.3776093,135.7120843,132.5884145,133.2803662,63646600
18-01-2023,133.6559906,137.0169072,133.4780516,135.2474869,69672800
19-01-2023,133.7153015,134.6840338,132.2325415,132.5389762,58280400
20-01-2023,136.2854004,136.4336854,132.6773573,133.7251719,80223600
23-01-2023,139.488205,141.6728118,136.3150913,136.532564,81760300
24-01-2023,140.891861,141.514625,138.6874952,138.6973748,66435100
